"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,145115133968.0,172596576337.0,145144092919.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,18571408630.0,10444974770.0,41777350474.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,15013945766.0,4662200000.0,7426000000.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,30332967477.0,44470091231.0,66115932885.0
dart_ShortTermDueFromCustomersForContractWork,단기미청구공사,Short-term due from customers for contract work,재무상태표 [abstract],자산 [abstract],유동자산,단기미청구공사,,,26791499085.0
ifrs-full_CurrentContractAssets,유동계약자산,Current contract assets,재무상태표 [abstract],자산 [abstract],유동자산,유동계약자산,2278865735.0,4867165905.0,
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,유동 당기손익-공정가치 측정 지정 금융자산,"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,유동 당기손익-공정가치 측정 지정 금융자산,204673000.0,38700000.0,
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,77394302894.0,106745754007.0,2276944421.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,1315247106.0,1367690424.0,756366054.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,3723360.0,,
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,53491171627.0,40197143255.0,41171931675.0
ifrs-full_InvestmentAccountedForUsingEquityMethod,지분법적용 투자지분,Investments accounted for using equity method,재무상태표 [abstract],자산 [abstract],비유동자산,지분법적용 투자지분,61152036.0,98645141.0,844693155.0
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,268027705.0,278809635.0,5758562704.0
ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,비유동 당기손익-공정가치 측정 지정 금융자산,"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,비유동 당기손익-공정가치 측정 지정 금융자산,100924208.0,100924208.0,
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,비유동 기타포괄손익-공정가치 측정 금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,비유동 기타포괄손익-공정가치 측정 금융자산,5075400000.0,3524400000.0,
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,29738888437.0,30387692286.0,30080466375.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,영업권 이외의 무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,영업권 이외의 무형자산,576884420.0,614377279.0,570907779.0
ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,1174182710.0,,
dart_LongTermTradeReceivablesGross,장기매출채권,"Long-term trade receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권,10764523451.0,,
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,5731188660.0,5192294706.0,3917301662.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,198606305595.0,212793719592.0,186316024594.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,62547341292.0,90484819727.0,74403459559.0
ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,31147709258.0,42297157359.0,59277266365.0
ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,,5000000000.0,1703220000.0
dart_ShortTermDueToCustomersForContractWork,단기초과청구공사,Short-term due to customers for contract work,재무상태표 [abstract],부채 [abstract],유동부채,단기초과청구공사,,,9164081068.0
ifrs-full_CurrentContractLiabilities,유동계약부채,Current contract liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동계약부채,27360065003.0,33044431757.0,
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,2318323604.0,6144474756.0,452523554.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,1370026251.0,3243011791.0,3116215396.0
ifrs-full_CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,유동 당기손익-공정가치 측정 지정 금융부채,"Current financial liabilities at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],부채 [abstract],유동부채,유동 당기손익-공정가치 측정 지정 금융부채,,125750000.0,
dart_CurrentProvisionsForProductWarranties,유동판매보증충당부채,Current provisions for product warranties,재무상태표 [abstract],부채 [abstract],유동부채,유동판매보증충당부채,351217176.0,629994064.0,690153176.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,5686332455.0,3094438337.0,7767476368.0
dart_PostemploymentBenefitObligations,퇴직급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,퇴직급여부채,4240047315.0,3000535974.0,5838726368.0
ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,비유동리스부채,1176224234.0,,
dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,270060906.0,93902363.0,1928750000.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,68233673747.0,93579258064.0,82170935927.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,130372631848.0,119214461528.0,104940270546.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,7998252500.0,7998252500.0,7998252500.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,47133546698.0,46220780633.0,46136518946.0
dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,-13175557004.0,-8891530448.0,-3223062844.0
ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),88416389654.0,73886958843.0,54028561944.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,,,-795181879.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,130372631848.0,119214461528.0,104145088667.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,198606305595.0,212793719592.0,186316024594.0
